"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
13.094 42.793 9 "4" 5.57 42.8 13.1 0.919516393211237
10.797 44.598 9 "5" 5.66 44.65 10.78 5.9365975281638
10.925 44.647 8 "5" 5.66 44.65 10.78 11.47544507828
10.631 44.697 8 "5" 5.66 44.65 10.78 12.8890241024557
15.647 38.108 10 "6" 6.3 38.1 15.65 0.927480278178055
12.867 42.404 10 "7" 6.6 42.4 12.87 0.508436096508123
13.665 43.432 9 "8" 5.84 43.43 13.67 0.46094640314434
15.647 38.108 9 "9" 5.14 37.8 15.2 52.0473179353379
14.485 40.747 9 "10" 5.87 40.78 14.42 6.59036342274821
14.349 40.808 9 "10" 5.87 40.78 14.42 6.73920532313395
14.26 40.855 8 "10" 5.87 40.78 14.42 15.8378101566232
14.642 40.743 8 "10" 5.87 40.78 14.42 19.1447562764095
14.642 40.743 8 "11" 5.77 40.8 14.38 22.9553834719587
14.529 40.926 8 "11" 5.77 40.8 14.38 18.7961930873224
14.085 40.786 8 "11" 5.77 40.8 14.38 24.8826837620247
14.26 40.855 8 "11" 5.77 40.8 14.38 11.8044591856438
14.378 40.624 7 "11" 5.77 40.8 14.38 19.571033076655
14.765 40.679 5 "11" 5.77 40.8 14.38 35.116240048668
14.808 41.357 10 "12" 6.3 41.35 14.8 1.02554152761927
13.987 42.233 10 "13" 6.3 42.23 13.98 0.665907870270094
14.331 41.328 9 "14" 6 41.38 14.43 10.0853857041612
14.231 41.594 9 "14" 6 41.38 14.43 29.0000111360532
14.619 41.407 9 "14" 6 41.38 14.43 16.049101402299
14.527 41.216 9 "14" 6 41.38 14.43 19.9553018966581
15.647 38.108 10 "16" 6.3 38.1 15.65 0.927480278178055
14.777 41.129 9 "17" 6 41.13 14.78 0.274769138618148
12.233 44.379 9 "18" 5.57 44.4 12.22 2.55337206771482
12.198 44.417 8 "18" 5.57 44.4 12.22 2.57433971257236
12.244 45.669 9 "19" 5.84 45.67 12.25 0.479292430204713
12.482 41.895 8 "20" 5.37 41.9 12.48 0.580094162091891
14.527 41.216 10 "21" 6 41.48 14.27 36.359004344912
14.231 41.594 9 "21" 6 41.48 14.27 13.0852409974998
14.088 41.651 8 "21" 6 41.48 14.27 24.3066506427407
15.09 41.153 8 "21" 6 41.48 14.27 77.5365826998993
13.814 41.49 6 "21" 6 41.48 14.27 38.000737355469
15.549 38.187 10 "22" 6.3 38.18 15.55 0.783256391911632
16.635 39.574 9 "23" 6 39.57 16.63 0.617650196169843
15.331 40.869 10 "24" 6 41.02 15.17 21.5586522711726
15.09 41.153 9 "24" 6 41.02 15.17 16.2378017186416
15.331 40.87 9 "24" 6 41.02 15.17 21.4720997016646
15.099 41.012 9 "24" 6 41.02 15.17 6.0229187089466
14.892 41.526 9 "24" 6 41.02 15.17 60.8725001486002
14.777 41.129 9 "24" 6 41.02 15.17 35.102026459747
